user,deposit_attempts,sucess_deposit_attempts,num_cards,num_cards_success,first_deposit,last_deposit,deposit_sucess_ratio,deposit_time_delta,signup_time_delta,calls,docs_uploaded,docs_approved,approval_rate,sales_view,conversion_owner,sales_agent,account_create_on_date,country_name,tag,channel,ava_business,profile_state,num_closed_trade
14566829,1,1,1,1,13:17.0,13:17.0,1,0,17,2,5,3,0.6,1,Dana Pavlova,1,38:47.1,United Kingdom,86776,SEO,United Kingdom,PROFILE_STATE_FULL,28
13448477,2,1,1,1,16:18.8,16:18.8,0.5,0,378,4,1,1,1,1,Todor Georgiev Todorov,1,13:52.4,Tanzania,58425,Affiliates,English,PROFILE_STATE_LIMITED,34
14863432,1,1,1,1,25:56.2,25:56.2,1,0,3,0,4,3,0.75,1,AvaFX Customer Service,0,56:04.3,Australia,151176,Affiliates,Ext. Malaysia,PROFILE_STATE_FULL,0
15135693,8,8,1,1,01:13.7,56:29.6,1,40,0,0,17,16,0.941176471,1,Motti Nevifor,1,21:43.0,Israel,fusionpartners_google_il_search_nonbrand_1,SEM,Ext. Atrade,PROFILE_STATE_FULL,222
14660664,8,4,2,1,23:30.7,02:03.4,0.5,85,0,1,2,2,1,1,Dobrin Dimitrov Velchev,1,25:44.5,South Africa,44487,Affiliates,South Africa,PROFILE_STATE_FULL,194
10305732,1,1,1,1,23:46.7,23:46.7,1,0,1946,1,2,1,0.5,1,Milan Thomas,1,15:53.9,Gambia,56590,Affiliates,English,PROFILE_STATE_LIMITED,2
15623936,1,1,1,1,48:57.8,48:57.8,1,0,0,0,2,2,1,1,Michel Cohen,1,44:24.1,France,avafx,Default,French,PROFILE_STATE_FULL,1
14581245,2,1,2,1,23:32.4,23:32.4,0.5,0,9,0,2,2,1,1,AD Unassigned,0,00:52.5,Sweden,86776,SEO,English,PROFILE_STATE_FULL,7
10865181,4,1,1,1,57:07.2,57:07.2,0.25,0,1504,3,5,3,0.6,1,AvaFX Customer Service,0,40:35.1,Australia,123746,Affiliates,Australia,PROFILE_STATE_FULL,0
14580277,1,1,1,1,57:38.6,57:38.6,1,0,0,0,5,2,0.4,1,AvaFX Customer Service,0,02:33.1,France,90291,Affiliates,French,PROFILE_STATE_FULL,0
14903733,2,2,1,1,20:33.4,18:01.1,1,27,52,0,3,3,1,1,AD Unassigned,0,53:28.0,Malta,equation_it_search_nonbrand,SEM,English,PROFILE_STATE_FULL,20
14564322,37,20,6,4,50:56.3,08:34.1,0.540540541,190,35,0,2,2,1,1,AD Unassigned,0,05:41.3,Morocco,86776,SEO,French,PROFILE_STATE_FULL,705
15541067,1,1,1,1,37:58.3,37:58.3,1,0,0,1,11,1,0.090909091,1,AvaFX Customer Service,0,32:42.9,United Arab Emirates,uac_fusion_gcc_1,SEM,Arabic,PROFILE_STATE_LIMITED,42
14569609,3,3,1,1,03:44.2,03:06.9,1,39,94,1,3,2,0.666666667,1,Tsvetan Metodiev Petrov,1,46:58.4,United Kingdom,86776,SEO,United Kingdom,PROFILE_STATE_FULL,35
15259030,2,1,2,1,38:27.7,38:27.7,0.5,0,1,1,3,2,0.666666667,0,AvaFX Customer Service,0,52:46.5,United Kingdom,185957,Affiliates,United Kingdom,PROFILE_STATE_FULL,4
14636920,1,1,1,1,44:46.2,44:46.2,1,0,0,0,2,2,1,1,AvaFX Customer Service,0,07:50.3,Italy,69828,Affiliates,Italian,PROFILE_STATE_FULL,51
15086626,15,12,3,1,32:59.0,56:01.1,0.8,0,3,0,1,1,1,1,AD Unassigned,0,53:23.4,Kenya,avafx,Default,English,PROFILE_STATE_BLACKLIST,0
15586405,4,1,2,1,51:09.1,51:09.1,0.25,0,28,4,6,2,0.333333333,1,Georgi Tuparov,1,24:27.1,South Africa,fusionpartners_google_za_search_nonbrand,SEM,South Africa,PROFILE_STATE_FULL,97
15646610,2,2,1,1,25:34.5,59:30.0,1,2,1,1,4,3,0.75,0,Moshe Benhamu,1,59:56.2,Costa Rica,168740,Affiliates,Latam,PROFILE_STATE_BLACKLIST,63
15119245,3,2,2,1,38:31.6,05:15.2,0.666666667,20,7,2,2,2,1,1,Ema Hadar,1,55:49.0,Trinidad and Tobago,avafx,Default,English,PROFILE_STATE_FULL,98
15082274,20,18,1,1,48:19.0,02:32.9,0.9,132,0,2,2,2,1,1,AvaFX Customer Service,0,15:27.0,United Arab Emirates,asa_app,SEM,Arabic,PROFILE_STATE_FULL,670
15255662,1,1,1,1,24:15.7,24:15.7,1,0,0,1,2,2,1,0,AvaFX Customer Service,0,15:07.4,Singapore,188233,Affiliates,English,PROFILE_STATE_FULL,163
15403038,1,1,1,1,58:09.0,58:09.0,1,0,0,0,4,2,0.5,0,AvaFX Customer Service,0,11:39.2,Qatar,184618,Affiliates,Arabic,PROFILE_STATE_FULL,0
15392309,2,2,1,1,31:20.2,50:23.9,1,11,20,0,3,2,0.666666667,0,AvaFX Customer Service,0,48:33.1,Chile,184947,Affiliates,Latam,PROFILE_STATE_FULL,1087
15680682,1,1,1,1,14:33.5,14:33.5,1,0,0,0,3,2,0.666666667,0,AvaFX Customer Service,0,44:55.4,Singapore,188233,Affiliates,English,PROFILE_STATE_FULL,87
14746464,84,18,28,7,10:58.5,25:26.8,0.214285714,177,0,5,3,2,0.666666667,1,Hazem Habeballah,1,33:19.9,United Arab Emirates,125322,Affiliates,Ext. Abu Dhabi,PROFILE_STATE_BLACKLIST,816
15582664,8,2,4,2,34:33.0,00:20.8,0.25,17,2,1,3,2,0.666666667,0,Ema Hadar,1,50:28.1,Kosovo,184659,Affiliates,English,PROFILE_STATE_FULL,231
